dish_id,background,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,food_containers,dining_tools,other_food
dish_1556572657,166310,0,0,0,10676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86183,0,0
dish_1556573514,167603,21010,0,0,0,0,1697,49,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72544,0,0
dish_1556575014,167268,0,0,0,17613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78288,0,0
dish_1556575083,167555,0,12203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83411,0,0
dish_1556575124,167988,0,12537,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82633,0,0
dish_1556575273,165071,0,28114,0,12512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57472,0,0
dish_1556575327,133680,0,25581,0,14980,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88735,0,0
dish_1556575386,111324,0,18771,0,12914,1526,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,118582,0,0
dish_1556575446,167086,0,23333,0,964,10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61743,0,0
dish_1556575499,133899,0,29561,0,3862,6705,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89139,0,0
dish_1556575558,109286,0,19869,0,8472,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123797,0,0
dish_1556575700,135877,0,0,86,13413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113793,0,0
dish_1557853154,216484,0,0,208,4407,3116,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37456,0,0
dish_1557853229,215816,0,11940,5,0,0,0,0,0,650,0,0,1032,664,586,214,0,0,6859,0,0,0,0,25402,1,0
dish_1557853314,215336,0,0,18125,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,29704,0,0
dish_1557853429,161539,32,7907,22992,0,200,3115,1831,0,13808,0,0,65,0,5869,0,0,0,0,0,0,0,16,45795,0,0
dish_1557861216,159998,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102548,0,0
dish_1557861605,218263,3083,0,0,39,0,168,1203,20,0,0,0,2572,0,0,0,0,0,0,0,0,0,0,37821,0,0
