dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces
dish_1556572657,0,0,0,10676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,21010,0,0,0,0,1697,49,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575014,0,0,0,17613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,12537,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,28114,0,12512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,25581,0,14980,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,18771,0,12914,1526,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,23333,0,964,10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,29561,0,3862,6705,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575558,0,19869,0,8472,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,86,13413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,0,0,208,4407,3116,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,11940,5,0,0,0,0,0,650,0,0,1032,664,586,214,0,0,6859,0,0,0,0
dish_1557853314,0,0,18125,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
dish_1557853429,32,7907,22992,0,200,3115,1831,0,13808,0,0,65,0,5869,0,0,0,0,0,0,0,16
dish_1557861216,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557861605,3083,0,0,39,0,168,1203,20,0,0,0,2572,0,0,0,0,0,0,0,0,0,0
dish_1557861697,541,113,0,11915,0,31,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0
dish_1557861795,15764,0,0,0,0,0,2727,0,0,0,0,87,0,0,0,0,0,364,0,0,0,0
dish_1557861837,16806,2060,0,11718,0,263,4168,0,0,0,0,2436,0,0,0,0,0,0,0,0,0,0
dish_1557862345,0,0,147,0,0,0,15469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,20312,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,0,0,20495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862783,232,21270,0,22,0,25255,5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862829,33636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,13938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863056,0,0,0,12586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863104,0,0,0,14439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863170,36680,10,0,19091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936555,0,7652,0,0,0,0,0,0,14938,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936599,0,19905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936645,0,3,1179,51,6399,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937037,0,0,0,0,13050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937079,121,1,215,12,0,15588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937157,0,20252,0,0,16266,19039,0,0,24010,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937335,0,0,9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937427,0,7886,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937574,0,112,0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937615,0,0,0,0,5430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937715,14,0,21,76,8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937758,0,43,6836,0,19375,32,0,0,5721,0,0,0,0,2693,0,0,0,0,0,0,0,0
dish_1558026623,0,0,0,0,17408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026684,0,0,0,0,14248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026714,0,0,129,0,0,17605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026756,0,0,1665,0,29340,16483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027001,0,0,5,0,16156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027057,0,0,11956,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
dish_1558027164,0,0,0,0,0,19550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027243,0,0,12962,0,13885,18810,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0
dish_1558028007,0,0,671,0,1856,0,0,0,0,0,0,0,0,10176,0,0,0,0,0,0,0,0
dish_1558028057,0,0,0,0,0,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028142,0,0,38,0,15832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028194,2,0,1516,3,16297,18961,0,0,0,0,0,0,0,8881,0,0,0,0,0,0,0,0
dish_1558028492,0,0,0,0,14181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028606,0,0,30,0,12972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
