dish_id,total_calories,total_mass,total_fat,total_carb,total_protein,ingredients
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,"pepper: 0.300716g, white rice: 12.02864g, mixed greens: 75.28157g, garlic: 3.00716g, soy sauce: 4.811456g, millet: 12.045051g, lemon juice: 3.011263g, bok choy: 12.02864g, olive oil: 11.442798g, onions: 6.022525g, vinegar: 3.011263g, green beans: 39.0g, pork: 84.200478g, apple: 15.056313g, sugar: 9.02148g, salt: 0.97784g, parsley: 0.752816g"
dish_1560455030,20.59,103.0,0.148,4.625,0.956,"cherry tomatoes: 55.0g, cucumbers: 29.0g, baby carrots: 19.0g"
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,deprecated: 143.0g
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,"tomatoes: 10.700637g, cilantro: 1.070064g, olive oil: 1.070064g, mustard greens: 21.401274g, lemon juice: 1.605096g, onions: 2.140127g, cucumbers: 10.700637g, salt: 0.133758g, arugula: 32.10191g, jalapenos: 1.070064g, asparagus: 34.0g, lime: 1.605096g, mangos: 10.700637g, cherry tomatoes: 10.700637g"
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,"scrambled eggs: 68.0g, yam: 50.0g, grapes: 30.0g, egg whites: 67.0g, olive oil: 6.0g, sweet potato: 50.0g"
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,"salt: 0.578431g, eggplant: 57.843136g, roasted potatoes: 60.0g, cauliflower: 64.0g, olive oil: 0.578431g"
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,"garlic: 0.895277g, squash: 63.131935g, cherry tomatoes: 4.476386g, chicken breast: 89.527718g, spinach (raw): 2.238193g, parmesan cheese: 2.238193g, wheat berry: 8.952772g, olive oil: 0.967048g, thyme: 0.223819g, honeydew melons: 30.0g, salt: 0.348654g, broccoli: 129.0g"
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,chicken apple sausage: 122.0g
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,berries: 78.0g
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497,"pepper: 0.015072g, chard: 2.411454g, blueberries: 0.964582g, mushroom: 75.0g, vinegar: 0.452148g, arugula: 13.504145g, mustard: 0.150716g, olive oil: 1.929163g, walnuts: 0.482291g, salt: 0.09043g"
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482,"shallots: 6.266546g, salmon: 208.884857g, mushroom: 11.441095g, ginger: 1.044424g, squash: 69.333336g, brownies: 51.0g, lemon juice: 2.088849g, sour cream: 3.050959g, lime: 0.261106g, garlic: 7.792025g, cheese pizza: 29.0g, wine: 1.525479g, cream: 3.050959g, brown rice: 41.77697g, jalapenos: 2.088849g, spinach (raw): 18.07164g, beef: 76.273972g, pasta: 61.01918g, thyme: 0.190685g, olive oil: 2.138691g, broccoli: 69.333336g, onions: 11.805095g, zucchini: 69.333336g, salt: 0.617555g, cilantro: 2.088849g, chili: 0.522212g"
dish_1559844951,274.335999,122.0,17.906,22.792,9.784,"almonds: 36.0g, potatoes: 86.0g"
dish_1562963704,663.755798,479.0,28.423254,66.054832,35.921761,"radishes: 3.508434g, bok choy: 12.315036g, vinegar: 3.508434g, salt: 0.615752g, roasted potatoes: 103.0g, mixed greens: 17.542168g, soy sauce: 5.803123g, caesar salad: 104.0g, garlic: 3.73659g, sugar: 9.236277g, pepper: 0.307876g, white rice: 12.315036g, pork: 86.205254g, rice noodles: 35.084335g, cabbage: 17.542168g, pizza: 52.0g, olive oil: 1.754217g, carrot: 8.771084g, green onions: 1.754217g"
