dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,86.13618,7.48645,7.773777,1.9550657
dish_1557861216,1.9127802,0.21829729,0.67942005,0.007737167
dish_1557862345,120.10521,3.3791199,3.2399948,15.616234
dish_1557862696,21.870728,1.9183005,0.8240202,2.7280035
dish_1557862738,197.84256,13.483641,2.813105,13.491591
dish_1557862783,308.3811,-3.5287015,0.1995168,33.560314
dish_1557936555,116.453896,0.21086685,4.532626,13.298718
dish_1557936599,21.670185,1.919485,0.86497575,2.72863
dish_1557936645,35.844532,2.3918285,6.387471,2.0611186
dish_1557937037,41.97049,2.6831484,10.108957,1.8485904
dish_1557937079,147.57008,9.103298,2.7636962,10.66557
dish_1557937157,486.01767,37.460903,21.174948,35.29053
dish_1557937335,25.23057,1.4988178,4.6915035,1.6566569
dish_1557937427,8.471505,0.83181375,0.51487046,1.0095963
dish_1557937574,9.681891,0.58233565,2.5462644,0.50625783
dish_1557937615,17.498644,1.1799234,4.3565564,0.722784
dish_1557937715,24.502525,1.0948051,6.338259,1.6329806
dish_1557937758,174.79294,9.990211,19.807882,11.176535
dish_1558030182,73.7365,9.262541,17.93247,1.431387
dish_1558030289,64.703156,4.055607,15.434334,2.9017467
dish_1558030383,189.9755,12.951131,2.6416826,12.945642
dish_1558030435,245.06718,10.341486,27.757414,1.176703
dish_1558031133,59.27595,3.6030846,11.11823,3.9542632
dish_1558031237,63.08631,3.9650269,15.101786,2.8186617
dish_1558031302,62.59156,8.133902,16.132933,1.2691469
dish_1558031351,36.606636,2.3521338,8.819763,1.6080694
dish_1558031394,204.70673,9.281996,40.84315,14.460085
dish_1558110297,26.708305,1.2709345,6.635165,1.748873
dish_1558110335,72.46245,4.6426425,1.788049,5.2234807
dish_1558110385,20.762398,2.7603045,-0.9002635,2.2295442
dish_1558110436,39.303017,2.0189862,5.90217,2.6064181
dish_1558110478,310.04794,19.04141,23.59777,21.266027
dish_1558113430,22.54535,2.0735989,4.488657,-0.52502733
dish_1558113477,259.83554,15.858805,12.166122,12.045858
dish_1558113941,263.65314,39.64676,30.970877,16.144104
dish_1558114086,33.078457,2.190876,7.8585796,1.4767995
dish_1558114145,52.05885,3.420683,12.180195,2.4118242
dish_1558114209,54.05099,3.413515,12.987846,2.3996058
dish_1558114284,143.03336,8.904463,33.79342,6.5162973
dish_1558372948,314.05505,18.138155,12.802189,15.266513
dish_1558373008,130.47902,8.699581,2.4120564,9.113726
dish_1558373074,35.95066,2.317647,8.62051,1.5855079
dish_1558373159,802.84625,84.93274,37.029713,16.81556
dish_1558375667,390.77814,23.814432,18.160397,18.145515
dish_1558375732,16.724354,2.3717468,4.537799,-1.8521295
dish_1558375833,155.3998,10.59391,2.3230834,10.602038
dish_1558375886,985.70715,61.170113,22.354774,13.329083
dish_1558376212,290.8021,17.762981,13.590808,13.4808445
dish_1558376306,200.5418,13.673798,2.8822591,13.680468
dish_1558376364,30.032852,1.164977,7.906781,2.1868575
dish_1558376437,32.72659,1.7161793,5.644916,2.0900521
dish_1558376483,1036.1261,52.54431,41.50843,56.879616
dish_1558376734,112.928055,7.7235775,1.7693646,7.6908484
