dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,81.98551,6.51667,6.827674,2.0078297
dish_1557861216,2.873363,0.15396039,0.68718916,0.14360172
dish_1557862345,113.46445,4.722102,4.011548,13.700077
dish_1557862696,21.296513,1.8742102,0.77761346,2.6176815
dish_1557862738,184.3702,11.041179,4.2008286,13.3189745
dish_1557862783,295.1827,19.396015,17.905125,50.962452
dish_1557936555,96.62675,5.4500523,9.246812,7.401625
dish_1557936599,51.59005,6.4023647,2.2042701,4.2495246
dish_1557936645,22.827644,0.66669077,4.4657073,1.8770466
dish_1557937037,21.875885,0.8368024,8.711844,1.1575873
dish_1557937079,139.33313,8.228159,2.9822137,10.251723
dish_1557937157,462.59015,36.143524,25.04627,36.41975
dish_1557937335,23.380512,1.392867,4.366458,1.5309844
dish_1557937427,8.615997,0.84704775,0.5244606,1.0263262
dish_1557937574,26.69921,2.0651226,0.6641921,1.6751871
dish_1557937615,17.322914,1.1720012,4.3151865,0.713113
dish_1557937715,22.174156,1.1630195,5.4809885,1.3154721
dish_1557937758,155.93295,9.57551,17.569687,9.954751
dish_1558030182,75.9589,9.529779,18.400345,1.457161
dish_1558030289,65.133194,4.1268063,15.5292015,2.9074764
dish_1558030383,188.25407,12.849312,2.6324527,12.82873
dish_1558030435,263.0192,13.838495,30.562445,12.055075
dish_1558031133,59.603737,3.5760098,11.061256,3.982461
dish_1558031237,63.89504,4.052088,15.274626,2.8586187
dish_1558031302,64.93455,8.385519,16.679695,1.3244009
dish_1558031351,37.20106,2.4541216,8.717827,1.6828694
dish_1558031394,182.97356,6.635664,38.81943,13.080481
dish_1558110297,37.712784,0.90160555,3.3830383,2.4453073
dish_1558110335,50.24914,0.90532583,2.3435428,4.0517745
dish_1558110385,20.167234,2.1490898,-0.6308004,2.201984
dish_1558110436,36.72367,1.9073714,6.113492,2.470779
dish_1558110478,373.7153,23.323633,22.185837,26.404001
dish_1558113430,27.439114,3.5266933,4.660145,-0.63425404
dish_1558113477,201.7708,11.275354,9.054772,10.184438
dish_1558113941,252.66718,37.519974,29.768826,15.48552
dish_1558114086,33.086224,2.153016,7.884225,1.4712739
dish_1558114145,42.934093,1.8487147,10.607417,3.037498
dish_1558114209,52.324635,3.3674507,12.491867,2.344369
dish_1558114284,141.91626,8.787825,33.368073,6.5374975
dish_1558372948,132.93353,5.8322124,9.505537,8.394224
dish_1558373008,79.096725,3.0951443,3.8109834,5.5988646
dish_1558373074,35.881493,2.3085518,8.604218,1.5831404
dish_1558373159,686.27997,71.21592,38.127888,22.270073
dish_1558375667,320.19507,19.310839,14.979061,15.130357
dish_1558375732,23.765184,0.90709156,6.2390523,1.8434186
dish_1558375833,143.41751,8.7102,2.894978,10.476535
dish_1558375886,846.9802,46.92588,21.37767,9.756698
dish_1558376212,252.48096,14.980726,11.7106285,12.712407
dish_1558376306,188.48961,12.513321,3.3001485,13.103477
dish_1558376364,25.342384,0.9447879,6.6767383,1.9420269
dish_1558376437,11.518453,-2.2678783,1.3884451,1.7055695
dish_1558376483,688.1813,49.477497,31.018661,30.121223
dish_1558376734,81.247215,3.412551,2.8277795,5.9389443
dish_1558376768,34.79363,2.2608356,8.288601,1.548945
dish_1558376801,22.169518,1.2543935,1.7742071,0.46422213
dish_1558376874,258.42706,15.154705,11.116208,12.578955
dish_1558376938,29.273195,1.3966359,7.343705,1.8583012
dish_1558376984,189.7285,25.725084,27.233398,-4.854451
dish_1558461431,16.820412,2.217349,1.7214506,-0.15872484
dish_1558461607,48.46418,2.448841,11.690652,2.9326553
dish_1558461692,217.84305,13.303825,10.231469,10.101054
dish_1558461760,35.252987,2.1876779,3.2971807,2.40349
dish_1558461792,226.22063,14.055956,7.5097523,1.5144434
dish_1558544663,105.28946,10.521059,22.615757,2.1968317
dish_1558545738,37.300674,2.3908482,8.892859,1.6563072
dish_1558546434,20.129929,2.783947,3.0783546,-0.43456918
dish_1558546558,276.79218,16.668753,12.678221,13.002355
dish_1558546663,128.83255,25.55404,21.763947,-4.20016
dish_1558549413,690.8487,42.04535,31.897903,32.16119
dish_1558549605,118.80479,11.778353,25.650028,2.458436
dish_1558549773,9.528361,0.7647552,1.9574707,-0.21666628
dish_1558549806,362.7638,24.77756,24.5999,21.405476
dish_1558630176,38.547638,2.4926977,9.137368,1.7278137
dish_1558630207,434.4165,24.921316,19.309183,22.156063
dish_1558630288,29.690197,4.574951,4.750495,-0.60972553
dish_1558630325,486.2042,77.68557,50.11167,-5.016443
dish_1558635400,31.083912,2.69248,1.1097906,3.9650831
dish_1558635489,67.71661,8.411367,16.245441,1.284893
dish_1558635523,63.772743,6.36129,13.886097,1.2890558
dish_1558635546,37.510727,2.41354,8.959844,1.6618495
dish_1558635618,204.66467,5.386549,35.007034,14.421828
dish_1558639412,69.07187,4.344528,16.495821,3.093937
dish_1558639440,36.65485,2.3527946,8.750186,1.6250248
dish_1558639482,32.43203,4.1622944,8.091417,0.570445
dish_1558639526,48.046932,2.7132072,9.225224,3.2760801
dish_1558639555,183.76065,7.3602905,38.56637,12.950447
dish_1558639787,32.93785,2.869936,1.1701925,4.1935854
dish_1558639818,61.641563,3.9116516,14.697866,2.7698584
dish_1558639849,16.084679,1.2649678,-3.07549,1.6358385
dish_1558639876,91.50001,4.235901,25.48203,10.526206
dish_1558641164,37.203777,2.3918476,8.878179,1.6481075
dish_1558641200,31.089617,2.0212955,6.0461946,2.0193713
dish_1558641253,64.97888,8.110376,15.615269,1.2251682
dish_1558641287,60.48159,3.6735053,5.4332986,4.1966925
dish_1558641320,209.45003,9.839083,22.689861,11.084308
dish_1558717604,38.321373,2.4651928,9.139122,1.7010622
dish_1558718587,19.694096,1.75926,0.82576066,2.4882774
dish_1558718610,61.773323,7.756922,15.011223,1.1794167
dish_1558718649,59.337627,3.7495823,14.244106,2.6404076
dish_1558718680,288.45685,17.571974,13.463854,13.467109
dish_1558718906,224.56032,13.690102,26.83376,10.835934
dish_1558719570,37.910362,2.428607,9.0211,1.6878614
dish_1558719994,577.7247,35.147453,26.771446,26.887516
dish_1558720097,69.39252,4.2752247,13.123966,4.6293173
dish_1558720133,19.115635,1.6972636,0.8025034,2.411704
dish_1558720236,745.7081,39.574596,37.234085,14.163524
dish_1558722125,605.62726,36.837543,27.994009,28.192919
dish_1558722171,24.330006,2.1147175,0.9286707,3.0899534
dish_1558722207,37.911785,2.4359245,9.050724,1.6827698
dish_1558722247,566.46094,40.97673,29.305534,14.431331
dish_1559157454,15.76058,1.2708453,3.0810506,-0.29179198
dish_1559157777,36.654728,5.0350513,3.8028028,-0.39136797
dish_1559157919,35.09514,3.7789555,6.7789726,-0.7690993
dish_1559233445,21.06359,1.4004153,5.2209053,0.8806698
dish_1559233570,35.951626,2.3125944,8.684185,1.5718455
dish_1559233627,77.366486,5.320755,1.1899756,5.22997
dish_1559233715,91.170265,4.514286,10.485595,4.9909277
dish_1559233756,179.68651,23.891829,24.062656,-1.0251722
dish_1559238993,75.405334,4.7353,17.92204,3.3983412
dish_1559239151,33.387062,4.6861115,4.6193657,-0.6238819
