dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,84.06978,7.2134686,7.4610567,1.9110961
dish_1557861216,0.4280469,0.1805665,0.2895263,-0.08178209
dish_1557862345,122.473366,3.387457,3.2574747,15.957833
dish_1557862696,21.908482,1.9091414,0.72929174,2.6414118
dish_1557862738,196.97038,13.431705,2.811713,13.431445
dish_1557862783,311.3571,-1.9604136,1.419565,31.083782
dish_1557936555,121.46773,-0.64220244,3.769151,13.413135
dish_1557936599,21.447826,1.897209,0.8590782,2.6991549
dish_1557936645,34.99559,1.4561561,4.1166315,2.412575
dish_1557937037,41.667355,2.679264,9.984383,1.8509698
dish_1557937079,153.3689,10.548283,2.4358144,10.592934
dish_1557937157,490.97345,39.484478,19.546347,31.517471
dish_1557937335,24.624662,1.5323194,4.6858697,1.6012009
dish_1557937427,8.299129,0.8177337,0.51296407,0.9866027
dish_1557937574,10.142612,0.69985,2.598389,0.4349864
dish_1557937615,17.20527,1.1648363,4.2842517,0.7087881
dish_1557937715,34.316628,2.4639177,6.486293,2.0065992
dish_1557937758,169.01358,10.02413,19.787848,11.970843
dish_1558030182,75.891014,9.485586,18.285778,1.4514294
dish_1558030289,63.64815,4.014988,15.196632,2.8479748
dish_1558030383,191.42868,13.058061,2.6634746,13.04316
dish_1558030435,258.47916,20.788939,23.722305,12.312706
dish_1558031133,71.816444,1.5017775,8.17265,5.31949
dish_1558031237,61.38237,3.8707561,14.714069,2.737483
dish_1558031302,62.199738,8.016397,15.8956375,1.2574825
dish_1558031351,36.69776,2.3565998,8.85001,1.6112227
dish_1558031394,228.77626,13.389473,40.066803,15.842014
dish_1558110297,28.600832,1.5557059,7.0567703,1.6014409
dish_1558110335,82.33778,5.6663485,1.2295005,5.5621934
dish_1558110385,20.98515,2.7679338,-0.8534841,2.2217171
dish_1558110436,56.15066,1.3686417,4.5242567,4.031178
dish_1558110478,286.02963,19.339563,20.376595,17.959316
dish_1558113430,22.377586,1.7562808,4.336872,-0.443986
dish_1558113477,270.60242,16.526402,12.663686,12.540976
dish_1558113941,261.99536,39.64736,30.863205,15.979955
dish_1558114086,32.67863,2.1242304,7.813181,1.4463325
dish_1558114145,49.610603,2.9914494,11.875631,2.436925
dish_1558114209,53.75846,3.408352,12.919989,2.3852406
dish_1558114284,141.17393,8.796938,33.36185,6.430814
dish_1558372948,346.8932,20.929834,15.726339,16.124712
dish_1558373008,134.87575,9.2253475,1.987895,9.170468
dish_1558373074,35.90519,2.3056593,8.602771,1.5853143
dish_1558373159,810.4198,86.75776,37.952465,16.874683
dish_1558375667,392.17432,23.8826,18.210588,18.216629
dish_1558375732,19.762987,-0.51804596,2.0607808,0.87496495
dish_1558375833,158.29443,10.804949,2.2908068,10.779906
dish_1558375886,1053.746,61.47401,24.54564,20.84328
dish_1558376212,293.70474,17.89707,13.706345,13.627105
dish_1558376306,205.40482,13.995609,2.9135075,14.009736
dish_1558376364,33.925926,1.6738366,8.442284,2.0872478
dish_1558376437,26.967054,1.798088,6.5428553,1.1748185
dish_1558376483,1048.0342,54.879196,41.415615,55.888535
dish_1558376734,113.756195,7.7955346,1.7125144,7.7241282
dish_1558376768,34.18038,2.234933,8.121125,1.5262246
dish_1558376801,3.7749293,0.6009864,1.0204132,-0.19246513
dish_1558376874,303.2728,18.498552,14.169155,14.07031
dish_1558376938,41.198406,2.61345,9.7653475,1.881166
dish_1558376984,681.8376,52.859936,41.176006,53.09057
dish_1558461431,9.167614,0.30317873,1.7172506,-0.09409433
dish_1558461607,61.82417,3.901146,14.712179,2.7754335
dish_1558461692,232.38457,14.182432,10.907167,10.763758
dish_1558461760,35.024372,2.1719255,3.275303,2.3881323
dish_1558461792,174.9598,2.883932,46.53309,14.612505
dish_1558544663,104.17842,10.368345,22.55048,2.1320505
dish_1558545738,37.264767,2.3906078,8.886664,1.6540279
dish_1558546434,14.341251,0.48969454,2.5859106,-0.12495618
dish_1558546558,294.03687,17.932901,13.72345,13.640168
dish_1558546663,295.79825,42.858067,33.76401,-3.0198612
dish_1558549413,699.5294,42.54325,32.327236,32.57165
dish_1558549605,121.158226,12.010466,26.164047,2.5064974
dish_1558549773,9.229321,0.293312,1.7178104,-0.089786105
dish_1558549806,433.77667,36.380898,27.859623,24.235611
dish_1558630176,38.459297,2.4931564,9.126995,1.7186894
dish_1558630207,576.35345,35.061058,26.690762,26.806717
dish_1558630288,32.35976,5.515751,4.986741,-0.6517196
dish_1558630325,547.8431,80.82285,54.271408,3.208064
dish_1558635400,27.636429,2.415018,1.0261905,3.5170813
dish_1558635489,67.36929,8.383184,16.173754,1.276803
dish_1558635523,62.89546,6.3057632,13.721561,1.2614737
dish_1558635546,37.887974,2.4452229,9.052342,1.6770339
dish_1558635618,203.33458,5.517191,34.96532,14.245488
dish_1558639412,63.14954,4.0374947,14.964239,2.8630018
dish_1558639440,35.72816,2.3071585,8.543026,1.5798106
dish_1558639482,32.718796,4.167326,8.094468,0.5724878
dish_1558639526,51.59551,3.2174454,9.824586,3.4192424
dish_1558639555,194.52802,7.9954395,40.518093,13.785761
dish_1558639787,30.026093,2.6161747,1.0738399,3.8318338
dish_1558639818,59.56282,3.7626991,14.28775,2.6499805
dish_1558639849,31.66685,1.9729413,6.214137,2.0823512
dish_1558639876,126.59602,4.147974,25.60335,9.781288
dish_1558641164,37.65289,2.424283,8.988989,1.6692219
dish_1558641200,30.293732,1.9741951,5.9120483,1.965354
dish_1558641253,63.26124,7.9041653,15.2079735,1.1897173
dish_1558641287,58.400288,3.5480785,5.2498918,4.0459604
dish_1558641320,211.1949,10.032389,23.199604,11.578345
dish_1558717604,38.110172,2.462719,9.100638,1.6884422
dish_1558718587,18.812435,1.6881045,0.8028677,2.3736925
dish_1558718610,63.307915,7.8910084,15.202099,1.1928825
dish_1558718649,57.950207,3.6586533,13.914175,2.5771217
dish_1558718680,322.8857,19.675055,15.0613575,14.988788
dish_1558718906,415.49518,28.78911,38.36304,17.882898
dish_1558719570,37.03408,2.3841763,8.823063,1.6452098
dish_1558719994,673.21497,40.924156,31.10427,31.346394
dish_1558720097,67.02864,3.4213448,11.934249,4.6396546
dish_1558720133,17.71158,1.5778884,0.7641619,2.2353363
dish_1558720236,833.36414,60.2622,57.705673,30.239147
dish_1558722125,647.13,39.35228,29.945305,30.12473
dish_1558722171,23.432266,2.0665493,0.9183224,2.9716425
dish_1558722207,37.696693,2.421977,8.999157,1.6730781
dish_1558722247,728.27844,58.043823,33.762077,13.046208
dish_1559157454,15.691023,1.0558909,2.9032304,-0.20098883
dish_1559157777,20.564722,0.7449092,3.6485803,-0.17169577
dish_1559157919,36.392513,3.8940678,6.818104,-0.64829737
dish_1559233445,20.635256,1.3718365,5.121668,0.8614766
dish_1559233570,37.176823,2.3771038,8.96971,1.6310787
dish_1559233627,80.8968,5.5689154,1.2111408,5.4629526
dish_1559233715,139.45438,8.677462,9.832146,6.5207567
dish_1559233756,194.51797,20.076319,22.675919,7.3626394
dish_1559238993,73.63413,4.609827,17.49043,3.3206081
dish_1559239151,24.614765,3.037754,4.703204,-0.6629558
dish_1559239256,34.170567,2.1998062,8.217595,1.501894
dish_1559239369,244.18814,14.965689,29.156155,14.486987
dish_1559578551,166.62015,11.367761,2.332627,11.345658
dish_1559578579,135.0695,3.4493237,9.971985,9.406918
dish_1559578599,256.9979,11.240387,13.235874,20.046661
dish_1559841950,12.818752,1.1839255,0.63789254,1.5818787
dish_1559841979,39.628616,1.7191495,6.3053474,1.9355216
dish_1559842047,122.35872,8.246363,15.091328,6.678236
dish_1559844272,407.65427,24.823378,18.927595,18.941566
dish_1559844323,462.31015,54.914055,30.734905,15.109337
dish_1559844366,523.1244,55.81749,30.099152,-2.5494394
dish_1559844458,43.951515,2.806036,10.54304,1.946887
dish_1559844490,100.002235,6.353739,23.90686,4.3645697
dish_1559846688,136.59605,12.734751,8.796679,8.501407
dish_1559849020,40.69998,2.6092863,9.776237,1.7976522
dish_1559849053,324.30807,39.78571,21.396482,6.0181875
dish_1559849097,376.90176,36.21446,23.227083,9.2562895
dish_1559849412,350.43866,21.358377,16.30921,16.27379
dish_1559849466,402.88684,47.792015,26.905804,13.423616
dish_1559849497,468.31473,48.905807,28.963493,4.7133503
dish_1559849537,507.6772,47.98967,30.907612,12.174015
dish_1559850283,301.77533,18.408562,14.086896,13.993946
dish_1559850314,308.75516,28.637041,17.810884,12.722786
dish_1559850338,365.97113,32.557762,17.059227,4.4422035
dish_1559934477,125.90499,6.0371113,4.4616485,12.738071
dish_1560203400,297.95728,16.200975,28.764782,19.90234
dish_1560203424,299.60608,13.187868,21.380455,23.087996
dish_1560367904,148.95062,10.034452,8.928492,10.697818
dish_1560367926,479.67334,23.952196,35.193703,25.381832
dish_1560367952,117.96782,18.766962,12.832741,-1.1164742
dish_1560367980,184.8402,27.701624,11.043739,2.309579
dish_1560368019,480.9973,29.26874,24.57294,36.586067
dish_1560368395,73.77206,4.653061,17.571186,3.315915
dish_1560368464,177.02266,11.340982,21.161293,9.844173
dish_1560368506,369.17154,15.816385,34.109634,43.859413
dish_1560368570,455.9993,36.960247,25.587637,31.979836
dish_1560444869,22.628689,1.4930075,5.571563,0.9570202
dish_1560444892,48.131603,3.053585,11.552324,2.1364164
dish_1560444914,103.03177,6.428419,24.418037,4.6711187
dish_1560444931,200.17708,10.152281,22.866726,11.972676
dish_1560444948,284.23462,16.687077,27.571068,18.599373
dish_1560444967,287.92255,14.647913,28.815392,17.91166
dish_1560444985,301.791,16.23446,30.016773,18.890772
