dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,80.76662,6.228691,6.4392433,2.0958219
dish_1557861216,1.5824773,0.19305168,0.568794,0.00060928613
dish_1557862345,122.40066,3.507927,3.241575,15.794809
dish_1557862696,30.781801,2.5372448,1.2061946,2.0666866
dish_1557862738,203.29895,13.864731,2.8894067,13.864766
dish_1557862783,344.6986,18.528906,10.581848,13.798272
dish_1557936555,107.447365,1.9963626,15.025877,6.311474
dish_1557936599,21.604656,1.9336985,0.8722523,2.7148352
dish_1557936645,52.638374,0.95247,2.7110314,5.086262
dish_1557937037,70.53934,6.2994347,8.311116,4.4982285
dish_1557937079,167.96034,11.505932,2.5257747,11.5194435
dish_1557937157,532.32996,44.800953,16.71891,26.071478
dish_1557937335,56.248173,-0.2749117,2.4985175,4.5715265
dish_1557937427,8.114886,0.80192083,0.5093325,0.9615621
dish_1557937574,10.238248,0.58229154,2.701583,0.5691814
dish_1557937615,17.672594,1.315823,4.0911508,0.8071825
dish_1557937715,42.816666,1.5109376,3.1489675,2.8766978
dish_1557937758,206.79588,14.506502,20.275982,19.047447
dish_1558030182,78.31699,10.129713,18.943615,1.368144
dish_1558030289,61.255043,3.8572235,14.621731,2.7393427
dish_1558030383,192.96674,13.155397,2.6851144,13.1533985
dish_1558030435,276.8573,22.44848,24.067017,15.093492
dish_1558031133,103.29881,5.5708256,10.699379,7.3071647
dish_1558031237,53.358406,3.3908005,12.800545,2.3709192
dish_1558031302,65.892395,4.2138767,11.244278,2.496251
dish_1558031351,35.685238,2.3036165,8.614154,1.5609431
dish_1558031394,185.75966,10.309206,35.217873,13.819053
dish_1558110297,29.448107,1.6560019,7.2279186,1.5965838
dish_1558110335,83.90003,5.771574,1.2513727,5.669265
dish_1558110385,21.460388,2.6259565,-0.77697057,2.2290444
dish_1558110436,54.442398,1.0912999,3.5156538,4.2137485
dish_1558110478,265.49,16.6099,18.176273,16.177132
dish_1558113430,22.35109,1.3547801,4.1732845,-0.3329497
dish_1558113477,272.93997,16.642208,12.753669,12.661268
dish_1558113941,257.78796,38.934334,30.361362,15.723397
dish_1558114086,32.328438,2.0971498,7.754573,1.421226
dish_1558114145,49.24226,2.493349,12.052277,2.9525638
dish_1558114209,46.579494,2.9817085,11.200832,2.0614176
dish_1558114284,141.50436,8.788664,33.4053,6.4502916
dish_1558372948,349.45752,21.296827,16.279333,16.23039
dish_1558373008,136.99408,9.375093,2.017535,9.313123
dish_1558373074,35.67989,2.2921896,8.552231,1.5745244
dish_1558373159,790.16394,85.933235,38.966213,16.683968
dish_1558375667,389.30093,23.720896,18.100237,18.082977
dish_1558375732,20.181969,-0.69643265,2.0243523,1.1132759
dish_1558375833,158.16768,10.801829,2.2865386,10.7670965
dish_1558375886,1087.7806,59.619976,24.175547,24.287594
dish_1558376212,299.82413,18.2861,14.003031,13.906451
dish_1558376306,210.6254,14.353818,2.9832997,14.365844
dish_1558376364,19.727898,2.5001035,5.897269,-0.671121
dish_1558376437,25.514544,1.6667527,6.292099,1.0832891
dish_1558376483,1041.9451,54.273045,39.88585,49.837036
dish_1558376734,115.107,7.888203,1.7309694,7.8186717
dish_1558376768,48.93886,4.3229446,7.963149,2.7875168
dish_1558376801,4.032,0.39457506,0.9830082,-0.14150268
dish_1558376874,307.91583,18.77015,14.367398,14.284323
dish_1558376938,39.00152,2.0282536,9.567947,2.2709827
dish_1558376984,720.89465,50.409348,42.218075,61.830868
dish_1558461431,9.21092,0.30570787,1.7197206,-0.09244304
dish_1558461607,58.163254,2.8484135,14.235554,3.5793762
dish_1558461692,239.70804,14.635466,11.239101,11.100012
dish_1558461760,34.579334,2.1436334,3.2394474,2.3575096
dish_1558461792,197.63557,3.3411255,45.665848,18.792799
dish_1558544663,103.81443,10.303785,22.442848,2.1371489
dish_1558545738,37.59413,2.4234295,8.974035,1.6661758
