dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,172.67484,9.604946,2.056071,9.570983
dish_1557861216,0.25960648,0.27490526,0.24281444,0.061960645
dish_1557862345,73.98243,2.591591,2.7613676,8.39895
dish_1557862696,37.075806,3.774519,8.221529,0.69565195
dish_1557862738,177.19238,11.829682,2.97651,12.255672
dish_1557862783,107.580284,-3.153099,3.2168624,13.969695
dish_1557936555,111.87593,2.6781483,4.6854835,11.65594
dish_1557936599,20.514389,1.8305739,0.8383921,2.5760298
dish_1557936645,37.540924,0.7861003,4.726049,2.50639
dish_1557937037,40.786972,2.6039572,9.820477,1.7958007
dish_1557937079,114.649796,3.0725794,9.308011,19.725443
dish_1557937157,489.98248,52.971016,29.32498,45.974888
dish_1557937335,43.069195,5.373584,4.4139056,2.2610795
dish_1557937427,10.336161,1.475211,0.43022615,0.6202354
dish_1557937574,10.7177925,0.76656574,2.7387552,0.4151557
dish_1557937615,17.621708,1.1714257,4.2864327,0.7513282
dish_1557937715,27.267094,1.7885188,6.6383553,1.1743765
dish_1557937758,209.16457,11.710403,19.92194,12.95403
dish_1558030182,40.06525,11.199055,7.378578,-0.11895948
dish_1558030289,61.22529,3.8596077,14.624985,2.7373085
dish_1558030383,138.79095,12.233168,9.069944,7.5850577
dish_1558030435,258.72946,8.324272,23.580149,35.374863
dish_1558031133,146.28642,11.700339,10.436721,5.8896155
dish_1558031237,29.448313,1.9287399,4.7894816,1.7812823
dish_1558031302,62.113697,3.5199242,7.2402105,5.1179986
dish_1558031351,28.88917,1.8803977,7.0134954,1.250248
dish_1558031394,241.09604,17.6681,25.32021,10.981401
dish_1558110297,30.218712,1.9606131,7.315278,1.3132195
dish_1558110335,63.416283,4.7224565,1.1938701,4.2329993
dish_1558110385,9.235839,0.8914527,0.5238145,1.0918236
dish_1558110436,86.779,6.16226,6.217964,8.441496
dish_1558110478,254.57773,17.05842,19.624313,15.529792
dish_1558113430,42.79641,5.8758106,4.1461926,0.24039692
dish_1558113477,246.28993,11.329428,3.5745485,7.996313
dish_1558113941,165.73111,-7.794607,30.644493,26.941013
dish_1558114086,31.496292,2.0438423,7.5641108,1.3829317
dish_1558114145,81.82426,7.9717493,11.600815,4.9070187
dish_1558114209,3.4549847,0.3122726,1.1126091,0.066752024
dish_1558114284,230.7626,23.692955,29.56024,13.1550045
dish_1558372948,334.95218,32.26996,15.25229,6.5573225
dish_1558373008,123.46181,8.459935,1.8384004,8.386045
dish_1558373074,33.886204,2.2027092,8.112189,1.4968405
dish_1558373159,867.4759,69.26893,32.870186,29.200108
dish_1558375667,593.5112,-30.849566,58.152607,-117.575935
dish_1558375732,37.435577,2.3890018,8.998261,1.6513162
dish_1558375833,334.6061,-26.386194,32.90213,-89.002914
dish_1558375886,1036.1127,43.235214,12.222557,31.632004
dish_1558376212,268.11722,7.533827,-0.35484332,12.96038
dish_1558376306,196.85663,13.429841,2.804169,13.424029
dish_1558376364,38.90101,2.4920435,9.351706,1.7146802
dish_1558376437,19.274145,1.3306965,3.917432,0.9733328
dish_1558376483,933.6771,55.254116,34.14131,35.09238
dish_1558376734,156.99301,-0.50152594,1.6654537,12.018903
dish_1558376768,32.089767,2.101737,7.7644157,1.3955693
dish_1558376801,36.787846,-1.3062283,0.4239145,3.0353603
dish_1558376874,226.70995,15.156603,3.5065649,12.959553
dish_1558376938,43.455784,2.7758636,10.425475,1.9230003
dish_1558376984,669.22736,57.47338,30.339289,52.966724
dish_1558461431,14.341566,1.3260974,0.6661785,1.774334
dish_1558461607,78.203415,6.6149197,13.542534,4.403969
dish_1558461692,219.3428,13.196352,9.91845,10.172187
dish_1558461760,26.452963,1.0818013,5.7822084,1.8161423
dish_1558461792,290.08878,13.753893,49.146683,31.360525
dish_1558544663,98.966805,9.8200245,21.409187,2.0310926
dish_1558545738,37.23037,2.4003572,8.883715,1.6500955
dish_1558546434,13.0777855,2.2560883,1.6661623,-0.24660546
dish_1558546558,278.6679,17.002827,13.026475,12.9200325
dish_1558546663,294.9744,41.699856,34.415363,-1.9529002
dish_1558549413,605.54553,25.708864,11.734364,30.279984
dish_1558549605,72.29754,7.235754,15.718821,1.4625463
dish_1558549773,28.100128,2.8149524,2.3530834,1.3735523
dish_1558549806,417.028,33.81041,26.776882,23.265745
dish_1558630176,36.382824,2.3458395,8.688633,1.6105199
dish_1558630207,408.73682,23.04083,4.9534855,7.8034105
dish_1558630288,122.29373,9.87876,9.226185,7.775033
dish_1558630325,482.81345,81.98203,46.948048,-13.341876
dish_1558635400,78.61251,-0.5932961,14.47257,5.2046475
dish_1558635489,63.967552,7.983568,15.388256,1.2050161
dish_1558635523,55.239,5.543604,12.0639305,1.0985327
dish_1558635546,34.91848,2.2607641,8.357995,1.5404105
dish_1558635618,209.00024,5.7096577,36.15302,14.643495
dish_1558639412,43.436016,3.1699667,6.3653917,3.3878684
dish_1558639440,34.906925,2.245531,8.341192,1.545001
dish_1558639482,31.554941,4.229269,7.591444,0.54867023
dish_1558639526,50.885204,2.9380758,8.700612,3.3639734
dish_1558639555,157.46849,13.869486,32.904533,7.526372
dish_1558639787,48.553654,5.667881,14.266346,1.7623711
dish_1558639818,42.944733,4.2880287,6.7112503,2.2663803
dish_1558639849,38.56129,2.0489879,5.720846,2.4937956
dish_1558639876,278.45502,29.10974,43.01072,30.266247
dish_1558641164,35.786385,2.2989178,8.546198,1.5849514
dish_1558641200,22.279545,0.53531975,4.9524393,1.7121861
dish_1558641253,74.472916,9.830719,10.908291,1.2669687
dish_1558641287,22.07941,-1.5600092,1.7397866,2.2482502
dish_1558641320,265.62088,13.894417,27.42263,28.619164
dish_1558717604,36.260834,2.323124,8.648129,1.6098804
dish_1558718587,17.966244,1.6168612,0.783016,2.2635174
dish_1558718610,56.27478,8.683729,13.955481,-0.21279436
dish_1558718649,82.59211,5.4821873,12.48612,4.9489355
dish_1558718680,273.90472,16.20533,11.854419,12.756697
dish_1558718906,411.41196,28.903185,37.464867,18.829643
dish_1558719570,33.201065,2.14602,7.917178,1.4688964
