dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,90.05087,8.486723,8.597671,1.8502383
dish_1557861216,5.089973,0.35657328,1.292582,0.20762801
dish_1557862345,120.783134,3.3486576,3.2270792,15.727172
dish_1557862696,24.953594,2.0724773,0.49860936,2.7557745
dish_1557862738,195.7311,13.342802,2.7778995,13.345973
dish_1557862783,326.9819,5.2020173,7.3116627,39.409958
dish_1557936555,103.905106,1.328432,8.799652,14.8976755
dish_1557936599,21.22491,1.8795089,0.85475904,2.6696262
dish_1557936645,49.36776,4.1455812,5.914708,3.1927347
dish_1557937037,42.15217,2.6925392,10.1486025,1.8589177
dish_1557937079,153.44188,10.508423,2.4386075,10.5372925
dish_1557937157,496.0916,40.129574,20.961897,38.192104
dish_1557937335,24.249178,1.5563177,4.6901107,1.5664028
dish_1557937427,16.04449,1.6781977,-0.36027592,1.8341379
dish_1557937574,13.447213,1.0041693,2.4451637,0.6337425
dish_1557937615,17.285467,1.1694278,4.3079457,0.71126384
dish_1557937715,27.831682,1.5862144,6.7483397,1.5101142
dish_1557937758,175.49583,10.209133,20.04414,11.505345
dish_1558030182,74.66755,9.360384,18.056105,1.4241476
dish_1558030289,63.69628,4.1427307,15.018728,2.802353
dish_1558030383,189.79562,12.943843,2.6358497,12.933482
dish_1558030435,261.4776,22.215826,23.724827,12.641534
dish_1558031133,69.01405,1.0578803,7.903672,5.2392306
dish_1558031237,62.286358,3.9346828,14.932623,2.7751665
dish_1558031302,63.161205,8.107782,15.934961,1.263032
dish_1558031351,36.871807,2.357644,8.882394,1.6212854
dish_1558031394,235.13205,13.982365,40.69611,16.146904
dish_1558110297,28.479784,1.8100938,6.858081,1.3118105
dish_1558110335,78.143425,5.3773966,1.2438843,5.2937856
dish_1558110385,47.00089,0.7309713,2.101801,5.1887445
dish_1558110436,53.62127,1.2205924,4.5097117,3.7985966
dish_1558110478,278.46167,18.428251,23.886759,18.258894
dish_1558113430,22.540562,2.0694714,4.49687,-0.530325
dish_1558113477,275.27487,16.79345,12.860257,12.764435
dish_1558113941,266.60797,40.034897,31.11935,16.366549
dish_1558114086,32.818886,2.145506,7.8312006,1.4571838
dish_1558114145,51.6492,3.2727432,12.332817,2.3071566
dish_1558114209,54.996387,3.4739056,13.213211,2.4439602
dish_1558114284,142.11919,8.858927,33.598873,6.472665
dish_1558372948,352.7007,21.530272,16.445127,16.370209
dish_1558373008,131.46649,8.991358,1.9549809,8.942106
dish_1558373074,36.189873,2.3333302,8.679208,1.5962305
dish_1558373159,801.2106,86.70623,39.394955,17.907322
dish_1558375667,401.58612,24.468782,18.675669,18.652864
dish_1558375732,18.40988,2.6282063,5.2242913,-1.5328661
dish_1558375833,152.6183,10.433979,2.2311997,10.388386
dish_1558375886,1034.9017,70.405014,25.726038,14.817067
dish_1558376212,300.53464,18.326666,14.018448,13.943479
dish_1558376306,200.47032,13.662538,2.8523989,13.674844
dish_1558376364,37.9508,2.4352512,9.1077175,1.6811223
dish_1558376437,27.101622,1.8045729,6.591776,1.1762776
dish_1558376483,1077.2928,56.60554,43.781555,64.60445
dish_1558376734,111.33763,7.626583,1.6895852,7.5629754
dish_1558376768,34.096306,2.2203941,8.139974,1.5134554
dish_1558376801,5.1444373,0.83252615,1.0014832,-0.1743334
dish_1558376874,303.97974,18.57628,14.202265,14.088227
dish_1558376938,42.802364,2.742546,10.277613,1.8904142
dish_1558376984,680.70294,56.079624,45.356365,52.83882
dish_1558461431,9.2381735,0.308649,1.7251756,-0.093135886
dish_1558461607,61.912655,3.906351,14.731848,2.7798214
dish_1558461692,235.4463,14.369215,11.049831,10.909363
dish_1558461760,34.931774,2.1668553,3.2680292,2.3804548
dish_1558461792,201.54309,4.574894,46.916355,17.636347
dish_1558544663,103.438675,10.293512,22.38456,2.121047
dish_1558545738,37.36219,2.4028778,8.910967,1.657978
dish_1558546434,14.2992935,0.4939937,2.5855577,-0.12815195
dish_1558546558,297.8295,18.151142,13.888228,13.8187065
dish_1558546663,304.0296,43.038055,35.098595,-1.8977745
dish_1558549413,707.93945,43.09423,32.739784,32.950397
dish_1558549605,120.22243,11.902529,25.953674,2.4936876
dish_1558549773,9.268937,0.29825205,1.7276294,-0.091352515
dish_1558549806,446.68875,36.521126,28.471928,24.927225
dish_1558630176,38.685402,2.5182905,9.161115,1.7357502
dish_1558630207,579.4262,35.247677,26.792093,26.956377
dish_1558630288,38.8981,6.9142494,5.187067,-0.6187983
dish_1558630325,554.9353,82.81204,54.773125,1.832448
dish_1558635400,28.758175,2.5158024,1.0598886,3.651515
dish_1558635489,65.95573,8.251272,15.874971,1.2348108
dish_1558635523,63.8437,6.360943,13.901726,1.2938662
dish_1558635546,38.045837,2.4375248,9.081439,1.6872277
dish_1558635618,211.31439,5.56584,36.81773,14.752715
dish_1558639412,65.70143,4.1821766,15.614496,2.9660845
dish_1558639440,35.938404,2.3171482,8.587602,1.5891776
dish_1558639482,31.691732,4.0669346,7.92356,0.56026834
dish_1558639526,51.912354,3.2267294,9.879344,3.4435117
dish_1558639555,186.74423,6.793524,40.626507,12.913451
dish_1558639787,38.41007,3.5740185,0.2241152,5.3240557
dish_1558639818,61.661716,3.8964844,14.775309,2.748043
dish_1558639849,32.349957,2.1066673,6.2910266,2.1015413
dish_1558639876,140.21379,-1.0058697,24.138094,13.15215
dish_1558641164,37.710766,2.4283066,9.006696,1.6694756
dish_1558641200,30.239885,1.9719228,5.8950973,1.9617298
dish_1558641253,63.178017,7.8877735,15.184521,1.1860294
dish_1558641287,58.400265,3.5471005,5.2494907,4.0467954
dish_1558641320,209.14027,8.954584,22.021801,11.365973
dish_1558717604,37.842224,2.4220724,9.022788,1.6815176
dish_1558718587,18.8469,1.6876067,0.80591947,2.3789587
dish_1558718610,62.949856,7.8453617,15.135244,1.1908169
dish_1558718649,59.488422,3.7520142,14.263157,2.6484737
dish_1558718680,324.75107,19.805208,15.128809,15.069678
dish_1558718906,528.23517,32.27877,48.2619,17.572567
dish_1558719570,37.10931,2.3827534,8.8349495,1.6494093
dish_1558719994,676.8326,41.1799,31.304508,31.50801
dish_1558720097,66.30569,3.9349937,12.392755,4.4574313
dish_1558720133,18.196215,1.6333922,0.7860573,2.288457
dish_1558720236,862.7657,56.271805,54.36981,32.516426
dish_1558722125,654.17053,39.819054,30.281208,30.447544
dish_1558722171,23.804749,2.0823498,0.9028471,3.0309381
dish_1558722207,37.819923,2.4303331,9.025055,1.6761003
dish_1558722247,746.3723,54.864677,34.46828,18.285887
dish_1559157454,15.839771,0.95821947,2.9386728,-0.19915205
dish_1559157777,20.77792,0.72897524,3.6584623,-0.16123778
dish_1559157919,36.453228,3.460413,6.707203,-0.5646239
dish_1559233445,20.864048,1.3877124,5.177799,0.8708996
dish_1559233570,37.01009,2.3753948,8.936857,1.6218543
dish_1559233627,80.53451,5.5456476,1.2073927,5.4373493
dish_1559233715,114.021576,9.250284,9.00295,3.8749971
dish_1559233756,200.41289,21.686663,22.459305,10.422519
dish_1559238993,73.19829,4.5815945,17.387302,3.3003683
dish_1559239151,26.845867,3.425085,4.6692696,-0.63907105
dish_1559239256,34.047527,2.1978312,8.192299,1.4935927
dish_1559239369,244.49908,15.088289,28.934689,14.545518
dish_1559578551,165.2946,11.288004,2.3183696,11.251583
dish_1559578579,125.60092,4.1913357,11.629885,8.451054
dish_1559578599,288.10287,10.817001,14.3685875,19.405087
dish_1559841950,13.011328,1.1999987,0.64373904,1.6072226
dish_1559841979,39.42421,1.6986073,6.23948,1.9367089
dish_1559842047,120.63376,8.160042,14.99876,6.574313
dish_1559844272,411.27368,25.074919,19.148886,19.104813
dish_1559844323,468.27942,54.9345,31.044785,16.394934
dish_1559844366,528.7217,56.863815,30.699184,-3.1630478
dish_1559844458,44.810944,2.854868,10.742979,1.9886675
dish_1559844490,104.36139,6.5213985,24.72892,4.721221
dish_1559846688,105.96482,9.045633,6.601218,6.5244417
dish_1559849020,41.492416,2.6526241,9.96501,1.8340693
dish_1559849053,329.8491,41.332775,22.323835,7.79743
dish_1559849097,379.42523,36.346626,23.33001,9.272254
dish_1559849412,359.826,21.923445,16.73846,16.702015
dish_1559849466,414.63663,48.641335,27.50616,14.515761
dish_1559849497,483.07568,51.371826,30.06802,3.410221
dish_1559849537,517.24646,49.813087,31.717297,11.018707
dish_1559850283,305.38623,18.640549,14.271985,14.163233
dish_1559850314,312.02722,27.796026,17.86877,13.489802
dish_1559850338,372.55676,34.151287,17.374823,4.0986147
dish_1559934477,121.249,7.121518,4.8049383,11.324965
dish_1560203400,317.9817,17.257395,30.688965,20.813118
dish_1560203424,323.17944,15.199564,28.78793,23.685297
dish_1560367904,139.96147,8.037573,7.9806547,10.861274
dish_1560367926,526.1542,24.34875,38.724304,27.211565
dish_1560367952,114.99602,18.255907,12.94548,-0.9573155
dish_1560367980,164.32768,23.301767,15.878227,2.309392
dish_1560368019,495.86594,33.23221,29.616898,36.336246
dish_1560368395,73.98773,4.654703,17.609205,3.3289452
dish_1560368464,172.54874,11.016272,20.85762,9.529929
dish_1560368506,358.1014,25.93313,23.377338,32.895905
dish_1560368570,497.3446,38.206863,29.50864,35.420002
dish_1560444869,23.09822,1.5196666,5.681056,0.9791269
dish_1560444892,49.48479,3.1499004,11.879599,2.1950321
dish_1560444914,103.80374,6.448099,24.546616,4.7190504
dish_1560444931,200.49886,10.098642,22.9981,11.99154
dish_1560444948,283.44614,16.41031,27.038692,18.533918
dish_1560444967,289.6958,14.236063,28.637203,18.275723
dish_1560444985,320.96313,16.712639,31.023174,20.673523
dish_1560445004,462.66315,32.162895,38.979992,41.71503
dish_1560456305,15.979769,1.3462657,3.3221529,-0.37257296
dish_1560456326,405.76312,23.150187,14.796631,37.633812
dish_1560456348,420.99252,19.25839,14.254948,33.673206
dish_1560456370,240.32584,-2.8114452,27.321526,15.183919
dish_1560526408,43.96744,7.985342,5.0669184,-0.5109237
dish_1560526447,35.451973,2.3574467,6.4615135,-0.45511156
dish_1560526472,80.10842,14.7216625,11.237272,-0.7328873
dish_1560526490,110.6872,10.298918,17.240236,2.2875595
dish_1560526514,187.1074,22.420519,36.14291,4.7926474
dish_1560526530,188.1345,23.933321,37.6428,4.527482
dish_1560526552,257.35132,18.007448,30.154541,19.176388
dish_1560800918,34.910275,2.4665165,5.80991,-0.27306467
dish_1560800951,242.24521,13.591171,14.598764,38.445892
dish_1560800988,251.71165,-3.8855724,23.32449,18.113472
dish_1560801020,358.16623,4.1703053,34.081486,30.283628
dish_1560801041,376.87204,6.6467457,35.033722,26.8296
dish_1560801773,14.588306,1.3278598,0.69048864,1.8294783
dish_1560801797,48.55209,5.4293423,2.4724138,0.5419163
dish_1560801829,182.31685,15.399454,18.743746,12.132938
dish_1560801859,368.65204,11.031435,11.706055,28.925102
dish_1560801883,654.58655,32.571484,35.509792,41.31887
dish_1560975491,47.853516,8.037149,5.667588,-0.26925236
dish_1560975517,120.5529,13.869299,12.777155,4.4476748
dish_1560975572,327.40356,16.32632,12.935796,24.595844
dish_1560975601,485.09412,24.651243,19.62811,37.043365
dish_1560975628,637.3362,31.33555,43.868053,42.806984
dish_1561147944,23.686687,1.4322528,4.265892,-0.26425081
dish_1561147967,156.10999,3.6870823,16.32779,12.576033
dish_1561147997,217.24149,11.365568,18.721973,16.665075
dish_1561148021,400.63953,24.420908,26.661808,25.345562
dish_1561148042,413.31592,17.493578,22.457733,33.238926
dish_1561393715,21.678154,1.9238299,0.8704842,2.7322407
dish_1561393741,216.87903,10.168257,9.158443,23.331795
dish_1561393764,386.57,22.77741,4.1961775,17.759502
dish_1561405332,18.625034,1.6711463,0.79188234,2.3313465
dish_1561405356,200.19229,1.1069506,7.9398375,14.679175
dish_1561405389,197.35738,2.8506584,10.389652,17.210722
dish_1561405411,246.00058,18.51385,32.561188,18.430435
dish_1561574368,52.514538,5.9397497,4.3274503,2.0191152
dish_1561574394,66.98379,10.853994,6.995508,0.0740828
dish_1561574428,109.930595,10.645834,9.235298,5.5625987
dish_1561574456,265.28964,13.044798,27.18756,21.449677
dish_1561574479,338.68863,10.652399,37.651634,27.655903
dish_1561574783,20.7946,1.1095217,3.7845151,-0.23257929
dish_1561574815,55.00569,8.843004,6.63941,-0.8972898
dish_1561574848,166.42378,6.7734127,10.022957,11.156466
