dish_id,total_calories,total_fat,total_carb,total_protein
dish_1556575327,90.516464,8.502449,8.631791,1.8714781
dish_1557861216,4.849816,0.39898854,1.3694687,0.14210415
dish_1557862345,122.23199,3.2684746,3.2113655,16.011204
dish_1557862696,32.095825,2.604807,-0.37988776,2.951909
dish_1557862738,196.17245,13.389297,2.8040202,13.374675
dish_1557862783,329.02298,4.358587,6.837034,39.804573
dish_1557936555,105.23783,1.096506,8.617657,14.757421
dish_1557936599,21.341568,1.8898715,0.8576763,2.6812344
dish_1557936645,51.058083,4.7477183,5.9453254,3.1604347
dish_1557937037,42.046925,2.6981907,10.129339,1.8495917
dish_1557937079,154.48772,10.58874,2.3481607,10.577883
dish_1557937157,497.88754,40.636944,21.299194,39.588444
dish_1557937335,24.423605,1.576918,4.7308717,1.5755786
dish_1557937427,14.150207,1.4210128,-0.16047448,1.7833908
dish_1557937574,11.732467,0.90617055,2.5499194,0.48158425
dish_1557937615,17.359846,1.1740879,4.326206,0.71481866
dish_1557937715,27.350138,1.4700674,6.6853848,1.5703154
dish_1557937758,176.11877,10.30994,20.083002,11.516401
dish_1558030182,74.95839,9.38946,18.10608,1.4272938
dish_1558030289,63.465298,4.1031723,14.972389,2.8009005
dish_1558030383,189.14522,12.905567,2.6428833,12.88723
dish_1558030435,264.21326,22.806505,23.606384,12.977031
dish_1558031133,72.88491,0.6356644,7.1958675,5.6024413
dish_1558031237,62.234856,3.9330845,14.916224,2.7731133
dish_1558031302,61.942772,7.9947186,15.767952,1.2368135
dish_1558031351,37.22219,2.3873758,8.965675,1.6348286
dish_1558031394,238.99048,14.255112,40.682537,16.32899
dish_1558110297,28.107836,1.6709756,6.904214,1.4272585
dish_1558110335,77.8698,5.357292,1.2221397,5.270129
dish_1558110385,47.015438,-0.094033554,2.3697774,5.7182264
dish_1558110436,52.122665,1.1063765,4.482422,3.7225027
dish_1558110478,279.18137,18.494299,23.809908,18.379951
dish_1558113430,22.539566,2.075903,4.496233,-0.5311356
dish_1558113477,275.43524,16.834417,12.894764,12.761609
dish_1558113941,267.02325,40.05432,31.112682,16.41439
dish_1558114086,33.00861,2.1492233,7.8865767,1.4620652
dish_1558114145,51.9126,3.2926083,12.4080925,2.3160095
dish_1558114209,55.445286,3.5015736,13.308834,2.4641867
dish_1558114284,142.43622,8.858332,33.64212,6.4929056
dish_1558372948,352.47073,21.47967,16.410658,16.36466
dish_1558373008,131.17982,8.975543,1.9683027,8.924048
dish_1558373074,36.278355,2.336176,8.70031,1.6013184
dish_1558373159,798.8922,87.05812,40.478004,18.582386
dish_1558375667,401.58612,24.468782,18.675669,18.652864
dish_1558375732,21.26316,2.4598188,6.368172,-0.19327742
dish_1558375833,153.07263,10.454407,2.2536945,10.427388
dish_1558375886,1040.1799,72.081276,26.15946,14.0534525
dish_1558376212,299.96683,18.277298,13.985711,13.915138
dish_1558376306,200.80753,13.678737,2.8473413,13.694621
dish_1558376364,37.973667,2.4213018,9.061096,1.7061238
dish_1558376437,34.286545,2.286996,6.526203,1.8795671
dish_1558376483,1080.0103,56.31621,43.753983,64.48823
dish_1558376734,112.21445,7.687979,1.6958172,7.6218987
dish_1558376768,34.13881,2.2314157,8.128561,1.5189586
