dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,10889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,21495,0,37,0,3,1341,30,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dish_1556575014,0,0,0,18616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,12414,0,65,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,28367,0,12711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,25807,0,15732,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,19015,0,13287,677,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,23823,0,4347,7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,27799,0,7715,4633,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575558,0,20523,0,11365,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,1,13708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,0,0,23,4751,2086,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,3975,0,0,0,0,0,0,173,0,0,1,924,1482,156,0,0,15602,0,0,0,0,0
dish_1557853314,0,0,17878,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0
dish_1557853429,0,8600,29162,0,0,102,1951,0,7517,0,0,0,0,9968,0,0,0,0,0,0,0,87,0
dish_1557861216,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dish_1557861605,3436,30,0,0,0,83,1063,0,0,0,0,2561,0,0,0,0,0,0,0,0,0,0,0
dish_1557861697,346,232,0,10865,0,592,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
dish_1557861795,15623,15,0,0,0,0,2701,0,0,0,0,72,0,0,0,0,0,416,0,0,0,0,0
dish_1557861837,16843,1204,0,12451,0,147,3736,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0
dish_1557862345,0,0,213,4,0,0,15719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,20305,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,0,0,20814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862783,234,21997,279,104,0,23150,5602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862829,33629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,13923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863056,0,0,0,12667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863104,0,0,0,14146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863170,37397,0,0,18157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936555,0,7163,0,0,0,0,0,0,15249,0,0,0,0,224,0,0,0,0,0,0,0,0,0
dish_1557936599,0,20421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936645,0,0,1024,53,7274,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937037,0,0,0,0,13110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937079,118,1,885,108,0,14948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937157,0,18551,718,0,17891,17477,0,0,24578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937335,0,0,9907,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937427,0,8044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937574,0,0,0,214,2882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937615,0,0,0,0,5489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937715,19,0,32,1140,7424,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937758,0,307,7932,0,18951,2,0,0,5904,0,0,0,0,2021,0,0,0,0,0,0,0,0,0
dish_1558026623,0,0,0,0,17506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026684,0,0,0,0,14544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026714,0,0,581,0,0,17195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026756,0,0,2592,0,28766,16387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027001,0,0,96,0,16149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027057,0,0,12242,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
dish_1558027164,5,0,0,0,0,19487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027243,0,0,19769,0,9204,17230,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0
dish_1558028007,0,0,1270,0,2069,0,0,0,0,0,0,0,0,9782,0,0,0,0,0,0,0,0,0
dish_1558028057,0,0,38,0,0,16481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028142,0,0,97,0,15777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028194,2,0,1738,1,15265,18885,0,0,0,0,0,0,0,9573,0,0,0,0,0,0,0,0,0
dish_1558028492,0,0,7,0,14223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028606,0,0,89,1,12877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028690,0,0,0,0,13822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028772,0,0,0,0,42248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029148,0,0,0,0,22970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029230,0,0,385,0,0,0,0,0,0,0,0,0,0,21919,0,0,0,0,0,0,0,0,0
dish_1558029278,0,0,120,0,0,14230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029324,3,0,3696,0,18656,13640,0,0,0,0,0,0,0,18495,0,0,0,0,0,0,0,0,0
dish_1558029518,0,0,23476,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
dish_1558029686,0,0,0,0,0,17150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029842,0,0,0,0,14179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029923,0,0,37376,0,9427,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030182,0,0,172,0,0,0,0,0,0,0,0,0,0,16665,0,0,0,0,0,0,0,0,0
dish_1558030289,0,1,0,0,20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030383,0,0,0,0,0,20089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030435,0,0,4402,0,19657,18942,0,0,0,0,0,0,0,12608,0,0,0,0,0,0,0,0,0
dish_1558030724,0,0,794,0,14455,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030832,0,0,17506,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0
dish_1558030910,0,0,0,0,0,13445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030971,0,0,37,217,9337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031019,0,0,15956,0,25679,13145,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
dish_1558031133,0,0,23725,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
dish_1558031237,0,0,0,0,19733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031302,0,0,857,0,0,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,0,0
dish_1558031351,0,0,8,0,11390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031394,0,0,25247,0,28774,1,0,0,0,0,0,0,0,9764,0,0,0,0,0,0,0,0,0
dish_1558031526,0,0,14271,0,0,570,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
dish_1558031566,0,0,0,0,0,17032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031628,0,0,0,0,20416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031675,0,0,15669,0,20180,16516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558032156,0,0,197,0,0,16772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109864,0,0,0,0,0,0,0,0,0,17534,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109907,0,0,0,5146,6522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109945,0,0,0,0,12228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109986,0,0,951,476,0,17458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110245,0,0,0,1420,7486,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110297,0,0,0,1017,7785,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110335,0,0,648,0,0,7545,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
dish_1558110385,0,7911,0,0,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110436,0,0,12909,0,3,48,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0
dish_1558110478,0,244,9934,0,9039,7648,0,0,13104,0,0,0,0,2918,0,0,0,0,0,0,0,0,0
dish_1558113154,0,0,0,204,10004,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113204,0,0,3,0,0,0,0,0,0,13655,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113255,0,0,0,0,17137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113304,0,0,0,0,30456,0,0,0,0,10598,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113430,33933,0,659,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113477,0,0,0,0,0,0,0,0,0,16350,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113941,31311,0,250,0,0,0,0,0,0,19301,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114086,0,0,0,0,10073,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114145,0,0,0,90,15737,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114209,0,0,0,0,16923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114284,0,0,0,0,44412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114441,0,0,0,0,0,18549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114484,0,0,19,0,0,16321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114523,0,0,0,92,0,136,0,0,0,7355,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114569,0,248,0,1894,4419,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114609,0,23,1573,776,4642,35466,0,0,0,3634,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114875,0,0,0,0,10527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558114937,34974,0,677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115011,0,0,0,0,0,200,0,0,0,8183,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115047,33176,0,1120,0,11741,0,0,0,0,8438,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115169,0,0,0,0,0,18294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115241,0,0,1131,0,0,0,0,0,0,0,0,0,0,19533,0,0,0,0,0,0,0,0,0
dish_1558115282,0,0,0,0,10395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115320,0,0,0,0,0,0,0,0,0,12031,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115364,0,65,6013,200,11441,16427,0,0,0,640,0,0,0,16933,0,0,0,0,0,0,0,0,0
dish_1558115448,0,0,0,0,17142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115512,0,0,0,0,0,23556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115601,0,0,529,0,0,0,0,0,0,0,0,0,0,18764,0,0,0,0,0,0,0,0,0
dish_1558115641,0,0,9,0,13244,29719,0,0,0,0,0,0,0,18978,0,0,0,0,0,0,0,0,0
dish_1558115764,0,0,0,0,0,19327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115825,0,0,0,65,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115867,0,0,3,0,0,330,0,0,0,9783,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115915,0,0,4,0,0,11779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558115960,0,0,461,0,0,28,0,0,0,0,0,0,0,9285,0,0,0,0,0,0,0,0,0
dish_1558116001,0,0,204,2525,9138,32791,0,0,0,2400,0,0,0,7249,0,0,0,0,0,0,0,0,0
dish_1558116090,0,0,1470,0,13413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116146,0,0,0,0,18648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116201,0,0,0,0,0,20468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116260,0,0,9,0,0,0,0,0,0,18732,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116298,0,128,261,236,36295,23303,0,0,0,6897,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116399,22684,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116436,0,0,0,0,0,9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116486,0,0,0,0,9083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558116547,0,0,0,0,9999,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558122583,0,0,1,0,0,0,0,0,0,0,0,0,0,10841,0,0,0,0,0,0,0,0,0
dish_1558122740,18955,0,6113,134,23655,8082,0,0,0,0,0,0,0,5361,0,0,0,0,0,0,0,0,0
dish_1558372433,0,0,0,0,10870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558372525,0,0,31,0,0,0,0,0,0,15979,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558372650,0,32,0,166,14777,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558372695,0,0,0,0,0,12642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558372771,0,0,0,0,27383,11606,0,0,0,10404,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558372948,0,0,152,696,0,163,0,0,0,19327,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373008,0,0,433,0,0,13470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373074,0,0,0,0,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373159,0,0,32,52,12678,10815,0,0,0,31356,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373284,0,0,56,0,0,22390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373352,0,0,0,56,17713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373405,0,0,5,0,9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373449,0,0,0,0,0,0,0,0,0,19486,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373492,0,2,90,3802,21621,21357,0,0,0,15828,0,0,0,42,0,0,0,0,0,0,0,0,0
dish_1558373639,13587,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558373687,0,0,0,0,0,16537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558375506,0,0,0,0,10185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0
dish_1558375583,11905,7,358,0,12207,18651,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0
dish_1558375667,0,0,0,0,0,0,0,0,0,24562,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558375732,0,0,0,4318,6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558375833,0,0,37,0,0,16302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558375886,0,0,0,5567,6662,21694,0,0,0,33155,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376212,0,0,0,0,0,0,0,0,0,18288,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376306,0,0,6,0,0,21070,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
dish_1558376364,0,0,0,1932,9478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376437,0,0,2629,189,5493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376483,0,0,1367,1211,19657,28372,0,0,0,17322,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376734,0,0,41,0,0,11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376768,0,0,0,0,10515,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376801,5043,0,372,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376874,0,0,0,0,0,0,0,0,0,18795,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376938,0,0,0,614,12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558376984,8861,423,1561,3933,19922,13072,0,0,0,16436,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558377105,0,0,54,0,0,22761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558378516,0,0,0,0,20604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558378553,0,0,0,0,0,0,0,0,0,19748,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558378634,0,299,189,890,15333,17364,0,0,0,14389,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379128,0,0,0,391,8093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379182,0,0,0,0,0,0,0,0,0,20078,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379273,0,0,11,0,0,14208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379324,0,0,0,0,10923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379391,0,141,61,1471,17250,11117,0,0,0,17078,0,0,0,222,0,0,0,0,0,0,0,0,0
dish_1558379588,0,0,0,0,10515,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379639,0,0,760,0,0,20858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379712,0,0,0,0,0,0,0,0,0,23927,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558379876,0,0,2,0,12775,27037,0,0,0,26116,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380014,0,0,0,0,20728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380058,0,0,0,0,0,0,0,0,0,15618,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380152,0,0,0,0,10566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380181,0,0,0,0,30711,0,0,0,0,9253,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380414,0,0,0,104,9468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380464,0,0,0,0,0,0,0,0,0,16386,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380527,0,0,0,0,0,20228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380557,0,0,0,3481,6036,23181,0,0,0,16016,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558380804,10175,0,2082,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558381032,0,0,15,0,1,0,0,0,0,8675,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558381084,0,0,0,3844,4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558381143,0,0,0,0,0,11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
