dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,10907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,22801,0,503,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575014,0,0,0,18980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,10733,0,218,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,12303,0,345,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,27718,0,9644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,25035,0,16673,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,18011,0,4434,152,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,20686,0,13815,320,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,25275,0,10054,909,55,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
dish_1556575558,0,18018,0,3633,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,0,13743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,0,0,7,6402,566,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,0,0,0,0,0,0,0,1,0,0,0,1777,689,968,0,0,19224,0,0,0,0,0
dish_1557853314,0,0,11503,0,1689,1224,0,0,0,0,0,0,0,1405,0,0,0,53,0,0,0,0,0
dish_1557853429,51,6073,19676,110,1206,1915,973,0,11288,0,0,0,0,12265,0,0,0,0,0,0,0,35,0
dish_1557861216,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0
dish_1557861605,3600,246,0,739,0,136,598,0,0,0,0,1866,0,0,0,0,0,0,0,0,0,0,0
dish_1557861697,110,687,0,9049,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557861795,15611,144,0,0,0,0,2463,0,0,0,0,149,0,0,0,0,0,504,0,0,0,0,0
dish_1557861837,14489,4183,2,11353,0,987,2865,0,5,0,0,517,0,0,0,0,0,201,0,0,0,0,0
dish_1557862345,5,0,1680,57,0,0,14230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,19470,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,514,0,17617,1325,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0
dish_1557862783,0,27714,6423,276,0,10813,1816,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0
dish_1557862829,31333,0,2741,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,14340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863056,0,0,0,13219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863104,0,0,0,14723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863170,18979,792,7765,25568,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936555,0,4334,0,0,0,0,0,0,9108,0,0,0,0,9128,0,0,0,0,0,0,0,0,0
dish_1557936599,0,17434,0,0,325,2624,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0
dish_1557936645,0,0,3923,1,3011,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937037,0,0,7127,0,4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937079,281,0,1137,551,0,13609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937157,0,11432,458,245,24476,13145,0,0,24882,0,0,0,0,134,0,0,0,0,0,0,0,0,0
dish_1557937335,0,0,9185,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937427,0,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937574,0,0,0,0,210,2942,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
dish_1557937615,0,0,0,0,5437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937715,0,0,38,602,6479,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937758,0,115,6145,0,16618,380,0,0,6469,0,0,0,0,1350,0,0,0,0,0,0,0,0,0
dish_1558026623,0,0,0,1,17404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026684,0,0,2,0,15259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
