dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,10967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,21269,0,0,0,0,1825,42,68,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
dish_1556575014,0,0,0,17914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,28226,0,12782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,25381,0,15772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,18624,0,13881,771,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,23069,0,1384,9930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,29046,0,6270,4818,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575558,0,18895,0,11168,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,37,13317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,20,0,0,3560,667,5438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,9605,0,0,0,0,0,0,1681,0,0,645,246,914,347,0,0,8653,0,0,0,0,0
dish_1557853314,0,0,18305,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
dish_1557853429,72,2549,19180,0,0,5025,5484,0,12653,0,0,13,0,9723,0,0,0,0,0,0,0,0,0
dish_1557861216,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
dish_1557861605,2979,0,0,54,0,288,1307,0,0,0,0,2529,0,0,0,0,0,0,0,0,0,0,0
dish_1557861697,922,8,0,11979,0,197,0,0,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0
dish_1557861795,15613,0,0,0,0,0,2609,0,0,0,0,101,0,0,0,0,0,396,0,0,0,0,0
dish_1557861837,16454,2032,0,12015,0,625,5466,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0
dish_1557862345,0,0,140,21,0,0,16033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,19511,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,0,0,20708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862783,274,18311,0,0,0,25453,6943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862829,33535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,13718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863056,0,0,0,12548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863104,0,0,0,14574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863170,39038,0,0,16823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936555,0,6415,0,0,0,0,0,0,14499,0,0,0,0,1480,0,0,0,0,0,0,0,0,0
dish_1557936599,0,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936645,0,3,2139,240,3971,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937037,0,0,0,0,12940,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937079,174,0,7,2,0,16220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937157,0,20458,0,0,15043,20907,0,0,23324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937335,0,0,9780,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937427,0,7896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937574,0,11,0,74,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937615,0,0,0,0,5398,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937715,21,0,2,243,7784,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937758,0,67,6192,0,18024,888,0,0,5517,0,0,0,0,3735,0,0,0,0,0,0,0,0,0
dish_1558026623,0,0,0,1,17341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026684,0,0,0,0,13342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026714,0,0,5,0,0,17957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026756,0,0,2528,0,27145,16897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027001,0,0,1,0,16417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027057,0,0,11796,0,0,2,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0
dish_1558027164,2,0,0,0,0,19905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027243,0,0,12805,0,12662,19746,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0
dish_1558028007,0,0,389,0,1680,0,0,0,0,0,0,0,0,10879,0,0,0,0,0,0,0,0,0
dish_1558028057,0,0,0,0,0,16670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028142,0,0,21,0,15706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028194,2,0,433,3,15471,20772,0,0,0,0,0,0,0,9106,0,0,0,0,0,0,0,0,0
dish_1558028492,0,0,3,0,14179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028606,0,0,43,0,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028690,0,0,0,0,13352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028772,0,0,0,0,41713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029148,0,0,0,0,22673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029230,0,0,162,0,0,0,0,0,0,0,0,0,0,21859,0,0,0,0,0,0,0,0,0
dish_1558029278,0,0,0,0,0,14548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029324,0,0,931,0,18725,15744,0,0,0,0,0,0,0,19069,0,0,0,0,0,0,0,0,0
dish_1558029518,0,0,22679,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
dish_1558029686,0,0,0,0,0,17331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029842,0,0,0,0,13897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029923,0,0,26031,0,11805,13583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030182,0,0,50,0,0,0,0,0,0,0,0,0,0,17013,0,0,0,0,0,0,0,0,0
dish_1558030289,0,0,0,0,19825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030383,0,0,0,0,0,20252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030435,0,0,1566,0,19292,20112,0,0,0,0,0,0,0,14455,0,0,0,0,0,0,0,0,0
dish_1558030724,0,0,110,0,14500,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030832,0,0,16225,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0
dish_1558030910,0,0,0,0,0,13601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030971,0,0,14,203,9224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031019,0,0,14501,0,25463,14479,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0
dish_1558031133,0,0,21924,0,0,723,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0
dish_1558031237,0,0,2,0,19212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031302,0,0,735,0,0,0,0,0,0,0,0,0,0,14639,0,0,0,0,0,0,0,0,0
dish_1558031351,0,0,0,0,11428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031394,0,0,21245,0,29324,219,0,0,0,0,0,0,0,11010,0,0,0,0,0,0,0,0,0
dish_1558031526,0,0,11715,0,0,1731,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0
dish_1558031566,0,0,0,0,0,17064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031628,0,0,0,0,19335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031675,0,0,14658,0,19647,17216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558032156,0,0,0,0,0,16845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109864,0,0,0,0,0,0,0,0,0,17482,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109907,0,0,0,2460,8823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109945,0,0,0,0,12258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558109986,0,0,6,31,0,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110245,0,0,0,379,8685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110297,0,0,0,526,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110335,0,0,0,0,0,8771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110385,0,8103,0,0,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558110436,0,0,11226,8,0,898,0,0,0,0,0,0,0,923,0,0,0,0,0,0,0,0,0
dish_1558110478,0,1598,5438,0,9131,12102,0,0,11411,0,0,0,0,2903,0,0,0,0,0,0,0,0,0
dish_1558113154,0,0,0,792,8754,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113204,0,0,1,6,0,0,0,0,0,13567,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113255,0,0,0,0,17169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558113304,0,0,0,0,30655,0,0,0,0,10696,0,0,0,0,0,0,0,0,0,0,0,0,0
