dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,11379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,21723,0,0,0,0,1682,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575014,0,0,0,18343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,96,12187,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,27984,0,13090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,54,24826,0,17195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,18416,0,14353,250,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,22891,0,3555,8394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,28108,0,9467,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575558,0,17071,0,15233,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,0,13243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,8,0,0,904,799,8861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,1882,0,0,0,0,191,0,3884,0,0,114,0,1000,789,0,0,14422,0,0,0,0,0
dish_1557853314,0,0,16333,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0
dish_1557853429,23,459,2749,0,0,17545,11546,0,8075,0,0,0,0,11732,0,0,0,1,0,0,0,0,0
dish_1557861216,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
dish_1557861605,2830,0,0,52,0,340,1829,685,0,0,0,1517,0,0,0,0,0,0,0,0,0,0,0
dish_1557861697,1082,0,0,11077,0,1517,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0
dish_1557861795,15177,0,0,0,0,46,1912,0,0,0,0,44,0,0,0,0,0,399,0,0,0,0,0
dish_1557861837,14469,567,0,12331,0,3528,6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862345,0,0,47,135,0,40,15718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,113,14583,0,0,0,0,0,0,0,0,0,4159,0,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,0,0,21387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862783,232,7709,0,0,0,27289,8108,0,172,0,0,0,0,17,0,0,0,0,0,0,0,0,0
dish_1557862829,33364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,13557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
