dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,3259,4833,476,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,11803,5231,0,99,190,241,0,2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575014,0,134,0,3597,7502,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,9330,0,759,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,27522,0,11270,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,25584,0,2322,3532,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,21182,0,7017,10667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,20287,0,95,18321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,28419,0,198,10518,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0
dish_1556575558,0,28899,0,2412,4365,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,34,10462,185,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,0,0,107,0,9715,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,19043,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,1,1,0,0,0,0
dish_1557853314,0,0,830,0,0,0,0,0,0,0,19,23,0,2339,5653,0,0,0,5003,0,0,0,0
dish_1557853429,0,17731,298,0,149,937,120,0,1103,0,165,0,0,11326,0,0,0,0,16417,0,0,1,0
dish_1557861216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557861605,179,599,0,152,1,147,0,190,0,0,0,4261,0,0,0,0,520,0,0,0,0,0,0
dish_1557861697,0,6,0,310,397,5553,21,0,0,11,0,877,0,0,0,0,0,0,0,1511,0,0,0
dish_1557861795,2185,4050,0,916,0,0,0,0,0,0,0,11603,0,0,6,249,2004,0,0,0,0,85,0
dish_1557861837,8646,875,0,2265,0,163,11714,56,52,0,14,4011,0,163,76,0,326,0,0,0,0,10,0
dish_1557862345,0,0,0,0,0,191,8895,0,0,0,0,3203,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,0,0,0,0,0,0,0,0,0,0,8995,0,0,0,0,0,0,2,0,0,0,0
dish_1557862738,0,0,0,0,0,18189,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
dish_1557862783,0,27626,0,0,0,4800,529,0,0,0,0,10214,0,719,0,0,0,0,2353,0,0,0,0
dish_1557862829,6684,0,0,308,22726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,10564,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863056,0,0,0,11552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863104,0,0,0,3229,6404,63,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0
dish_1557863170,2291,24792,0,15529,2516,11,0,343,0,0,0,0,0,1593,0,0,0,0,0,0,0,2523,0
dish_1557936555,0,4861,0,0,0,0,0,0,11552,0,1248,2237,0,541,0,0,0,10,199,90,0,0,0
dish_1557936599,0,19321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936645,0,0,0,0,7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0
dish_1557937037,0,0,0,0,12737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937079,0,0,0,0,311,395,0,0,0,0,1346,0,0,0,0,0,0,0,3148,3283,0,889,0
dish_1557937157,0,20688,0,0,14847,14899,0,0,23820,0,5671,0,0,0,0,0,0,0,0,0,0,2,0
dish_1557937335,0,0,127,0,1008,1261,0,0,0,0,4194,0,0,0,219,0,0,0,0,7,0,138,0
dish_1557937427,0,6054,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,21,363,0,0,0
dish_1557937574,0,0,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937615,0,0,0,0,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
dish_1557937715,0,0,0,0,8513,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937758,0,553,38,0,18745,976,0,0,3556,5,1214,85,0,471,1575,0,0,0,1789,0,0,222,0
dish_1558026623,0,0,0,0,16538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026684,0,0,0,0,296,0,0,0,0,0,150,0,0,0,413,0,0,0,35,0,0,0,0
dish_1558026714,0,0,0,0,0,13155,0,0,0,0,2974,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558026756,0,0,0,0,12343,10963,0,0,0,0,16393,0,0,0,0,0,0,0,0,0,0,1,0
dish_1558027001,0,0,0,0,14215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558027057,0,0,1785,0,0,1900,0,0,0,130,57,0,0,4978,0,0,0,0,543,40,0,0,0
dish_1558027164,0,0,0,0,0,5653,0,0,0,0,4989,0,0,0,0,0,0,0,0,4690,0,0,0
dish_1558027243,0,0,2928,0,14255,11669,0,0,0,0,1320,0,0,9248,2818,0,0,0,2,0,0,0,0
dish_1558028007,0,0,0,0,3942,0,0,0,0,1204,208,0,0,62,0,0,0,0,3220,464,0,0,0
dish_1558028057,0,0,0,0,0,15772,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dish_1558028142,0,0,0,0,13899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028194,0,0,93,0,13886,14413,0,11,0,0,10315,0,0,1,3859,0,0,0,0,0,0,0,0
dish_1558028492,0,0,0,0,1600,0,0,0,0,0,1213,0,0,0,2818,0,0,0,0,0,0,0,0
dish_1558028606,0,0,0,0,12318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028690,0,0,0,0,15239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558028772,0,0,0,0,35519,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029148,0,0,0,0,22414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029230,0,0,0,0,7377,2,0,0,0,0,3726,0,0,2188,1764,0,0,0,1430,106,0,0,0
dish_1558029278,0,0,12,0,0,14052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029324,0,0,1,0,17905,14252,0,0,0,0,330,0,0,17135,1855,0,0,0,431,0,0,0,0
dish_1558029518,0,0,5267,0,0,2520,0,0,0,0,0,0,0,11588,0,0,0,0,0,0,0,0,0
dish_1558029686,0,0,0,0,0,15273,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558029842,0,0,0,0,4026,0,0,0,0,4,2170,0,0,0,968,0,0,0,199,0,0,0,0
dish_1558029923,0,0,2282,0,4693,12888,0,0,0,739,6623,0,0,5572,1921,0,0,0,115,0,0,0,0
dish_1558030182,0,0,0,0,85,0,0,0,0,0,9094,0,0,0,1,0,0,0,3339,0,0,0,0
dish_1558030289,0,0,0,0,19077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030383,0,0,0,0,0,6775,0,0,0,0,10574,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030435,0,0,0,0,18540,15791,193,3321,0,0,7510,0,0,3397,22,0,0,0,268,0,0,0,0
dish_1558030724,0,0,0,0,11091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0
dish_1558030832,0,0,35,0,0,2,0,0,0,205,1008,0,0,2488,0,0,0,0,9742,0,0,0,0
dish_1558030910,0,0,0,0,0,12072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558030971,0,0,0,0,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1558031019,0,0,6977,0,21598,14843,0,0,0,0,0,0,0,4652,18,0,0,0,67,0,0,0,0
dish_1558031133,0,0,6,0,14,4425,0,0,0,12,679,0,0,6944,111,0,0,0,4338,397,0,0,0
dish_1558031237,0,0,0,0,4729,0,0,0,0,0,2,0,0,0,2422,0,0,0,7,0,0,0,0
dish_1558031302,0,0,0,0,282,0,0,0,0,0,8891,0,0,567,0,0,0,0,89,0,0,0,0
dish_1558031351,0,0,0,0,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
