dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,0,7341,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,14947,0,0,0,0,0,0,118,0,0,0,90,0,0,14,0,62,0,0,0,0,95,0
dish_1556575014,0,0,0,0,10752,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,9653,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,0,0,527,562,0,0,0,0,2,0,0,0,0,0,0,3869,0,0,0,0,0,0
dish_1556575273,1763,15799,2,78,18,212,4,0,0,0,0,23,0,0,0,0,329,0,0,0,0,0,0
dish_1556575327,27,12932,0,160,3353,4798,0,0,0,93,0,849,0,0,0,0,936,0,0,0,0,0,0
dish_1556575386,0,23915,0,341,517,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
dish_1556575446,113,11961,0,76,10409,0,0,0,0,239,0,572,0,0,0,0,1887,0,0,0,0,0,0
dish_1556575499,0,16548,0,0,5423,0,270,31,0,321,0,346,0,0,0,0,36,0,0,0,0,88,0
dish_1556575558,0,37989,0,315,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,0
dish_1557853154,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,2249,196,0,0,0
dish_1557853229,0,0,0,0,0,0,0,0,0,0,0,2057,0,0,0,0,134,0,3399,0,0,0,0
dish_1557853314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12114,74,0,0,0
dish_1557853429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,33751,0,0,0,0
dish_1557861216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
dish_1557861605,30,0,0,413,167,0,0,0,0,0,0,2313,0,0,0,0,1248,0,30,0,0,0,0
dish_1557861697,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,71,0,0,0
dish_1557861795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557861837,6954,0,0,17,0,181,0,0,0,0,0,3759,0,0,0,0,4894,0,277,0,0,0,0
dish_1557862345,0,0,0,0,0,0,0,0,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,0,0,0,0,0,0,0,0,4334,0,0,0,0,12,0,1337,5559,0,0,0
dish_1557862783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817,0,1,1536,0,0,0
dish_1557862829,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,7,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3679,0,0,0
dish_1557863056,0,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0,0,0,0
dish_1557863104,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0
dish_1557863170,246,10485,0,0,4333,0,0,0,0,0,0,6,0,0,0,0,10138,0,0,36,13,0,0
dish_1557936555,0,419,0,0,0,0,0,0,0,0,0,618,0,0,0,0,204,0,3605,0,0,0,0
dish_1557936599,0,5963,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
dish_1557936645,0,0,0,0,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2553,0,0,0
dish_1557937037,0,0,0,0,3227,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1687,0,0,0
dish_1557937079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306,773,0,0,0
dish_1557937157,0,1084,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4756,0,40168,345,0,0,0
dish_1557937335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4226,253,0,0,0
