dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,11053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,21559,0,0,0,0,1704,21,211,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dish_1556575014,0,0,0,18090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,12810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,27959,0,12941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,26773,0,14892,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,19297,0,13135,1529,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,23804,0,1441,9412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,30727,0,2108,8446,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575558,0,19840,0,12597,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,81,13483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,0,0,113,1674,4681,2801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,6761,20,0,0,0,0,0,2362,0,0,993,351,156,989,0,0,10416,0,0,0,0,0
dish_1557853314,0,0,18258,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
