dish_id,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,other_food
dish_1556572657,0,0,0,10896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556573514,21775,0,0,0,0,1634,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
dish_1556575014,0,0,0,18259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575083,0,12462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575124,0,12912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575273,0,28033,0,12832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575327,0,26902,0,14979,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575386,0,19105,0,14131,1151,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575446,0,23897,0,1470,9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575499,0,31834,0,3213,6947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575558,0,19731,0,12350,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1556575700,0,0,86,13472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853154,0,0,240,1957,4037,3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557853229,0,6643,13,0,0,0,0,0,2125,0,0,1938,169,91,1946,0,0,9229,0,0,0,0,0
dish_1557853314,0,0,18177,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
dish_1557853429,61,1092,24810,0,139,1613,1574,7,22413,0,0,241,0,4035,0,0,0,0,0,0,0,0,0
dish_1557861216,0,0,0,0,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557861605,2708,0,0,57,0,50,1170,0,0,0,0,2996,0,0,0,0,0,0,0,0,0,0,0
dish_1557861697,396,0,0,11597,0,341,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0
dish_1557861795,15642,1,0,0,0,0,2777,0,0,0,0,178,0,0,0,0,0,559,0,0,0,0,0
dish_1557861837,14451,3571,0,12369,0,110,4983,0,0,0,0,2274,0,0,0,0,0,0,0,0,0,0,0
dish_1557862345,0,0,76,0,0,0,16058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862696,0,18500,0,0,0,0,0,0,0,0,0,2644,15,0,0,0,0,0,0,0,0,0,0
dish_1557862738,0,0,0,0,0,20638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862783,216,21546,0,15,0,23306,9453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557862829,34020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863012,0,0,0,13964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863056,0,0,0,12608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863104,0,0,0,14911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557863170,38233,0,0,17631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936555,0,3396,0,0,0,0,0,0,19670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936599,0,20107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557936645,0,22,692,362,6274,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937037,0,0,0,0,13136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937079,85,19,4,21,0,16324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937157,0,20227,0,0,17769,17978,0,0,24634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dish_1557937335,0,0,9779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
