filename,dish_id,background,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,food_containers,dining_tools,other_food
dish_1556572657_rgb.png,dish,165182,0,0,0,3259,4833,476,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,89201,0,0
dish_1556573514_rgb.png,dish,167149,11803,5231,0,99,190,241,0,2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76251,0,0
dish_1556575014_rgb.png,dish,166826,0,134,0,3597,7502,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81770,0,0
dish_1556575083_rgb.png,dish,168638,0,12053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82478,0,0
dish_1556575124_rgb.png,dish,168989,0,9330,0,759,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83692,0,0
dish_1556575273_rgb.png,dish,166970,0,27522,0,11270,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56961,0,0
dish_1556575327_rgb.png,dish,134262,0,25584,0,2322,3532,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88079,0,0
dish_1556575386_rgb.png,dish,111754,0,21182,0,7017,10667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112547,0,0
dish_1556575446_rgb.png,dish,171901,0,20287,0,95,18321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565,0,0
dish_1556575499_rgb.png,dish,134392,0,28419,0,198,10518,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,87282,0,0
dish_1556575558_rgb.png,dish,109375,0,28899,0,2412,4365,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118111,0,0
dish_1556575700_rgb.png,dish,135517,0,0,34,10462,185,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,116950,0,0
dish_1557853154_rgb.png,dish,226276,0,0,107,0,9715,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26941,42,0
dish_1557853229_rgb.png,dish,219500,0,19043,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,1,1,0,0,0,23663,0,0
dish_1557853314_rgb.png,dish,219331,0,0,830,0,0,0,0,0,0,0,19,23,0,2339,5653,0,0,0,5003,0,0,0,29971,0,0
dish_1557853429_rgb.png,dish,162962,0,17731,298,0,149,937,120,0,1103,0,165,0,0,11326,0,0,0,0,16417,0,0,1,51960,0,0
dish_1557861216_rgb.png,dish,159275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103894,0,0
dish_1557861605_rgb.png,dish,224335,179,599,0,152,1,147,0,190,0,0,0,4261,0,0,0,0,520,0,0,0,0,0,32785,0,0
dish_1557861697_rgb.png,dish,221098,0,6,0,310,397,5553,21,0,0,11,0,877,0,0,0,0,0,0,0,1511,0,0,33385,0,0
dish_1557861795_rgb.png,dish,218006,2185,4050,0,916,0,0,0,0,0,0,0,11603,0,0,6,249,2004,0,0,0,0,85,24065,0,0
dish_1557861837_rgb.png,dish,168218,8646,875,0,2265,0,163,11714,56,52,0,14,4011,0,163,76,0,326,0,0,0,0,10,66580,0,0
dish_1557862345_rgb.png,dish,220026,0,0,0,0,0,191,8895,0,0,0,0,3203,0,0,0,0,0,0,0,0,0,0,30844,10,0
dish_1557862696_rgb.png,dish,242685,0,0,0,0,0,0,0,0,0,0,0,8995,0,0,0,0,0,0,2,0,0,0,11487,0,0
dish_1557862738_rgb.png,dish,222387,0,0,0,0,0,18189,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,22408,0,0
dish_1557862783_rgb.png,dish,161545,0,27626,0,0,0,4800,529,0,0,0,0,10214,0,719,0,0,0,0,2353,0,0,0,55383,0,0
dish_1557862829_rgb.png,dish,219551,6684,0,0,308,22726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,0,0
dish_1557863012_rgb.png,dish,241216,0,0,0,10564,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10427,0,0
dish_1557863056_rgb.png,dish,235919,0,0,0,11552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15698,0,0
dish_1557863104_rgb.png,dish,225017,0,0,0,3229,6404,63,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,28430,0,0
dish_1557863170_rgb.png,dish,164699,2291,24792,0,15529,2516,11,0,343,0,0,0,0,0,1593,0,0,0,0,0,0,0,2523,48872,0,0
dish_1557936555_rgb.png,dish,163541,0,4861,0,0,0,0,0,0,11552,0,1248,2237,0,541,0,0,0,10,199,90,0,0,78890,0,0
dish_1557936599_rgb.png,dish,171992,0,19321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71856,0,0
dish_1557936645_rgb.png,dish,166698,0,0,0,0,7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,88590,0,0
dish_1557937037_rgb.png,dish,172545,0,0,0,0,12737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77887,0,0
dish_1557937079_rgb.png,dish,165948,0,0,0,0,311,395,0,0,0,0,1346,0,0,0,0,0,0,0,3148,3283,0,889,87849,0,0
dish_1557937157_rgb.png,dish,98314,0,20688,0,0,14847,14899,0,0,23820,0,5671,0,0,0,0,0,0,0,0,0,0,2,84928,0,0
dish_1557937335_rgb.png,dish,168029,0,0,127,0,1008,1261,0,0,0,0,4194,0,0,0,219,0,0,0,0,7,0,138,88186,0,0
dish_1557937427_rgb.png,dish,165307,0,6054,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,21,363,0,0,90755,192,0
dish_1557937574_rgb.png,dish,161757,0,0,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98077,0,0
dish_1557937615_rgb.png,dish,167451,0,0,0,0,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,90261,22,0
dish_1557937715_rgb.png,dish,167864,0,0,0,0,8513,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86780,6,0
dish_1557937758_rgb.png,dish,107380,0,553,38,0,18745,976,0,0,3556,5,1214,85,0,471,1575,0,0,0,1789,0,0,222,126560,0,0
dish_1558026623_rgb.png,dish,167526,0,0,0,0,16538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79105,0,0
dish_1558026684_rgb.png,dish,176730,0,0,0,0,296,0,0,0,0,0,150,0,0,0,413,0,0,0,35,0,0,0,85545,0,0
dish_1558026714_rgb.png,dish,164900,0,0,0,0,0,13155,0,0,0,0,2974,0,0,0,0,0,0,0,0,0,0,0,82140,0,0
dish_1558026756_rgb.png,dish,135810,0,0,0,0,12343,10963,0,0,0,0,16393,0,0,0,0,0,0,0,0,0,0,1,87659,0,0
dish_1558027001_rgb.png,dish,168053,0,0,0,0,14215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80809,92,0
dish_1558027057_rgb.png,dish,171175,0,0,1785,0,0,1900,0,0,0,130,57,0,0,4978,0,0,0,0,543,40,0,0,82561,0,0
dish_1558027164_rgb.png,dish,167761,0,0,0,0,0,5653,0,0,0,0,4989,0,0,0,0,0,0,0,0,4690,0,0,80076,0,0
